"STUDY.ACCESSION","PUBMED.ID","DISEASE.TRAIT","INITIAL.SAMPLE.SIZE","MAPPED_TRAIT","NUMBER.OF.INDIVIDUALS","BROAD.ANCESTRAL.CATEGORY"
"GCST004302",28425483,"Primary biliary cholangitis","1,122 Han Chinese ancestry cases, 4,036 Han Chinese ancestry controls","primary biliary cirrhosis",5158,"East Asian"
"GCST004347",28346443,"Glioma","12,469 European ancestry cases, 18,190 European ancestry controls.","central nervous system cancer, glioma",30659,"European"
"GCST004348",28346443,"Non-glioblastoma glioma","5,819 European ancestry cases, 18,190 European ancestry controls.","central nervous system cancer, glioma",24009,"European"
"GCST004349",28346443,"Glioblastoma","6,191 European ancestry cases, 18,190 European ancestry controls.","central nervous system cancer, glioblastoma multiforme",24381,"European"
"GCST004414",28346442,"Ovarian cancer in BRCA1 mutation carriers","2,933 European ancestry carrier cases, 16,103 European ancestry carrier controls","ovarian carcinoma",19036,"European"
"GCST004415",28346442,"Invasive epithelial ovarian cancer","22,406 European ancestry cases, 40,941 European ancestry controls","ovarian carcinoma",63347,"European"
"GCST004416",28346442,"Ovarian cancer in BRCA2 mutation carriers","954 European ancestry carrier cases, 11,458 European ancestry carrier controls","ovarian carcinoma",12412,"European"
"GCST004417",28346442,"Ovarian clear cell cancer","1,366 European ancestry cases, 40,941 European ancestry controls","ovarian clear cell adenocarcinoma",42307,"European"
"GCST004418",28346442,"Endometrioid ovarian cancer","2,810 European ancestry cases, 40,941 European ancestry controls","ovarian endometrioid carcinoma",43751,"European"
"GCST004419",28346442,"Mucinous ovarian carcinoma","2,566 European ancestry cases, 40,941 European ancestry controls","ovarian mucinous adenocarcinoma",43507,"European"
"GCST004461",28346442,"Low-grade serous ovarian cancer","1,012 European ancestry cases, 40,941 European ancestry controls","ovarian serous carcinoma",41953,"European"
"GCST004462",28346442,"Epithelial ovarian cancer","16,924 European ancestry cases, 68,502 European ancestry controls","ovarian carcinoma",85426,"European"
"GCST004478",28346442,"Serous invasive ovarian cancer","14,049 European ancestry cases, 40,941 European ancestry controls","ovarian serous carcinoma",54990,"European"
"GCST004479",28346442,"Serous borderline ovarian cancer","1,954 European ancestry cases, 40,941 European ancestry controls","ovarian serous carcinoma",42895,"European"
"GCST004480",28346442,"High-grade serous ovarian cancer","13,037 European ancestry cases, 40,941 European ancestry controls","ovarian serous carcinoma",53978,"European"
"GCST004481",28346442,"Low-grade serous and serous borderline ovarian cancer","2,966 European ancestry cases, 40,941 European ancestry controls","ovarian serous carcinoma",43907,"European"
"GCST004483",27363682,"Multiple myeloma","7,319 European ancestry cases, 234,385 European ancestry controls","multiple myeloma",241704,"European"
"GCST004485",28470677,"Survival in pancreatic cancer","868 European ancestry cases","overall survival, pancreatic carcinoma",868,"European"
"GCST004510",28545128,"Sporadic neuroblastoma","2,101 European ancestry child cases, 4,202 European ancestry controls","neuroblastoma",6303,"European"
"GCST004635",28604728,"Testicular germ cell tumor","5,518 European ancestry cases, 19,055 European ancestry controls","Testicular Germ Cell Tumor",24573,"European"
"GCST004638",28656603,"Benign prostatic hyperplasia and/or lower urinary tract symptoms","1,419 European ancestry cases, 498 cases, 1,684 European ancestry controls, 518 controls","lower urinary tract symptom, benign prostatic hyperplasia",3103,"European"
"GCST004638",28656603,"Benign prostatic hyperplasia and/or lower urinary tract symptoms","1,419 European ancestry cases, 498 cases, 1,684 European ancestry controls, 518 controls","lower urinary tract symptom, benign prostatic hyperplasia",1016,"NR"
"GCST004661",28781888,"Uveal melanoma","259 European ancestry cases, 401 European ancestry controls","Uveal Melanoma",660,"European"
"GCST004710",28598434,"Renal cell carcinoma","10,784 European ancestry cases, 20,406 European ancestry controls","renal cell carcinoma",31190,"European"
"GCST004713",28604732,"Testicular germ cell tumor","3,558 European ancestry cases, 13,970 European ancestry controls","Testicular Germ Cell Tumor",17528,"European"
"GCST004736",28662289,"Familial hepatitis B virus-related hepatocellular carcinoma","139 East Asian ancestry cases, 139 East Asian ancestry controls","hepatocellular carcinoma",278,"East Asian"
"GCST004744",28604730,"Lung adenocarcinoma","11,273 European ancestry cases,  55,483 European ancestry controls","lung adenocarcinoma",66756,"European"
"GCST004746",28604730,"Small cell lung carcinoma","2,664 European ancestry cases,  21,444 European ancestry controls","small cell lung carcinoma",24108,"European"
"GCST004747",28604730,"Lung cancer in never smokers","2,355 European ancestry cases,  7,504 European ancestry controls","lung carcinoma",9859,"European"
"GCST004748",28604730,"Lung cancer","29,266 European ancestry cases, 56,450 European ancestry controls","lung carcinoma",85716,"European"
"GCST004749",28604730,"Lung cancer in ever smokers","23,223 European ancestry cases,  16,964 European ancestry controls","lung carcinoma",40187,"European"
"GCST004750",28604730,"Squamous cell lung carcinoma","7,426 European ancestry cases, 55,627 European ancestry controls","squamous cell lung carcinoma",63053,"European"
"GCST004753",28703219,"Papillary thyroid cancer","410 Korean ancestry cases, 8,279 Korean ancestry controls","papillary thyroid carcinoma",8689,"East Asian"
"GCST004754",28703219,"Follicular thyroid cancer","60 Korean ancestry cases, 8,279 Korean ancestry controls","follicular thyroid carcinoma",8339,"East Asian"
"GCST004755",28714907,"Chronic alcoholic pancreatitis or alcohol-related cirrhosis","1,110 German ancestry cases with chronic alcoholic pancreatitis, 400 European ancestry cases with alcohol-related liver cirrhosis, 1,750 German ancestry controls","alcoholic liver cirrhosis, alcoholic pancreatitis",3260,"European"
"GCST004757",28714907,"Alcohol dependence or chronic alcoholic pancreatitis or alcohol-related liver cirrhosis","1,331 German ancestry alcohol dependence cases, 1,110 German ancestry cases with chronic alcoholic pancreatitis, 400 European ancestry cases with alcohol-related liver cirrhosis, 3,684 German ancestry controls","alcoholic liver cirrhosis, alcoholic pancreatitis, alcohol dependence",4775,"European"
"GCST004779",28836065,"Uterine fibroids","3,999 African American cases, 4,764 African American controls","uterine fibroid",8763,"African American or Afro-Caribbean"
"GCST004798",28703219,"Differentiated thyroid cancer","470 Korean ancestry cases, 8,279 Korean ancestry controls","differentiated thyroid carcinoma",8749,"East Asian"
"GCST004833",28806749,"Cervical cancer","2,866 European ancestry cases, 6,481 European ancestry controls","cervical carcinoma",9347,"European"
"GCST004836",28761973,"Femoral neck bone mineral density or breast cancer (pleiotropy)","53,236 individuals with bone mineral density data, 5,152 Chinese ancestry breast cancer cases and controls","breast carcinoma, femoral neck bone mineral density",53236,"NR"
"GCST004836",28761973,"Femoral neck bone mineral density or breast cancer (pleiotropy)","53,236 individuals with bone mineral density data, 5,152 Chinese ancestry breast cancer cases and controls","breast carcinoma, femoral neck bone mineral density",5152,"East Asian"
"GCST004837",28761973,"Lumbar spine bone mineral density or breast cancer (pleiotropy)","53,236 individuals with bone mineral density data, 5,152 Chinese ancestry breast cancer cases and controls","breast carcinoma, spine bone mineral density",5152,"East Asian"
"GCST004837",28761973,"Lumbar spine bone mineral density or breast cancer (pleiotropy)","53,236 individuals with bone mineral density data, 5,152 Chinese ancestry breast cancer cases and controls","breast carcinoma, spine bone mineral density",53236,"NR"
"GCST004839",28869801,"Colorectal cancer","529 Japanese ancestry cases, 521 Japanese ancestry controls","colorectal cancer",1050,"East Asian"
"GCST004840",28869801,"Colorectal cancer","529 Japanese ancestry cases, 521 Japanese ancestry controls","colorectal cancer",1050,"East Asian"
"GCST004882",28924153,"Neuroblastoma (11q deletion vs 11q undeleted and MYCN amplification)","113 European ancestry 11q-deletion neuroblastoma cases, 78 European ancestry 11q-undeleted neuroblastoma cases, 204 European ancestry MYCN-amplification neuroblastoma cases","neuroblastoma",395,"European"
"GCST004883",28924153,"Neuroblastoma (11q deletion)","113 European ancestry cases, 5,109 European ancestry controls","neuroblastoma",5222,"European"
"GCST004884",28924153,"Neuroblastoma (1p deletion)","69 European ancestry cases, 5,109 European ancestry controls","neuroblastoma",5178,"European"
"GCST004885",28924153,"Neuroblastoma (MYCN amplification)","260 European ancestry cases, 5,109 European ancestry controls","neuroblastoma",5369,"European"
"GCST004895",28960316,"Colorectal cancer","1,701 Finnish ancestry cases, 14,082 Finnish ancestry controls","colorectal cancer",15783,"European"
"GCST004896",28935272,"Overall survival in serous epithelial ovarian cancer treated with paclitaxel and cisplatin","289 European ancestry women","overall survival, ovarian carcinoma, response to cisplatin, response to paclitaxel",289,"European"
"GCST004897",28935272,"Progression free survival in serous epithelial ovarian cancer treated with carboplatin and paclitaxel","147 European ancestry women","progression free survival, ovarian carcinoma, response to cisplatin, response to paclitaxel",147,"European"
"GCST004948",19330027,"Breast cancer","390 European ancestry cases, 364 European ancestry controls","breast carcinoma",754,"European"
"GCST004949",19330027,"Breast cancer","390 European ancestry cases, 364 European ancestry controls","breast carcinoma",754,"European"
"GCST004950",25751625,"Breast cancer","15,748 European ancestry cases, 18,084 European ancestry controls","breast carcinoma",33864,"European"
"GCST004982",29117387,"Prostate cancer","5,454 African American cases, 474 West African cases, 4,274 African American and African ancestry cases, 6,328 African American controls, 458 West African controls, 4,024 African American and African ancestry controls","prostate carcinoma",11782,"African American or Afro-Caribbean"
"GCST004982",29117387,"Prostate cancer","5,454 African American cases, 474 West African cases, 4,274 African American and African ancestry cases, 6,328 African American controls, 458 West African controls, 4,024 African American and African ancestry controls","prostate carcinoma",8298,"African unspecified, African American or Afro-Caribbean"
"GCST004982",29117387,"Prostate cancer","5,454 African American cases, 474 West African cases, 4,274 African American and African ancestry cases, 6,328 African American controls, 458 West African controls, 4,024 African American and African ancestry controls","prostate carcinoma",932,"Sub-Saharan African"
"GCST004986",29066090,"Idiopathic pulmonary fibrosis","602 European ancestry cases, 3,366 European ancestry controls","idiopathic pulmonary fibrosis",3968,"European"
"GCST004988",29059683,"Breast cancer","76,192 European ancestry cases, 63,082 European ancestry controls","breast carcinoma",139274,"European"
"GCST005075",29058716,"Breast Cancer in BRCA1 mutation carriers","7,784 European ancestry carrier cases, 7,782 European ancestry carrier controls","breast carcinoma",15566,"European"
"GCST005076",29058716,"Breast cancer (estrogen-receptor negative)","14,135 European ancestry cases, 58,126 European ancestry controls","estrogen-receptor negative breast cancer",72261,"European"
"GCST005077",29058716,"Breast cancer","14,135 European ancestry ER- cases, 58,126 European ancestry controls, 7,784 European ancestry  BRCA1 carrrier cases, 7,782 European ancestry BRCA1 carrrier controls","breast carcinoma",87827,"European"
"GCST005106",29158497,"Breast cancer (survival)","4,739 European ancestry individuals","survival time, breast carcinoma",4739,"European"
"GCST005110",29059430,"Breast cancer in childhood cancer survivors treated with less than 10 gray radiotherapy","69 European ancestry cases, 2,144 European ancestry controls","breast carcinoma",2213,"European"
"GCST005111",29059430,"Breast cancer in childhood cancer survivors","207 European ancestry female cases, 2,774 European ancestry female controls","breast carcinoma",2981,"European"
"GCST005112",29059430,"Breast cancer in childhood cancer survivors treated with more than 10 gray radiotherapy","131 European ancestry cases, 493 European ancestry controls","response to radiation, breast carcinoma",624,"European"
"GCST005113",26545403,"Nasopharyngeal carcinoma","2,152 Chinese ancestry cases, 3,740 Chinese ancestry controls","nasopharyngeal neoplasm",5892,"East Asian"
"GCST005148",29228715,"Colorectal cancer","978 Austrian ancestry colorectal cancer cases, 636 Austrian ancestry advanced colorectal adenoma cases, , 855 Austrian ancestry controls","colorectal cancer",2469,"European"
"GCST005149",29228715,"Colorectal cancer","978 Austrian ancestry cases, 4,294 European ancestry controls","colorectal cancer",5272,"European"
"GCST005150",29228715,"Colorectal cancer","978 Austrian ancestry colorectal cancer cases, 636 Austrian ancestry advanced colorectal adenoma cases, 4,294 European ancestry controls","colorectal cancer",5908,"European"
"GCST005151",29228715,"Colorectal adenoma (advanced)","636 Austrian ancestry cases, 4,294 European ancestry controls","colorectal adenoma",4930,"European"
"GCST005152",29228715,"Colorectal cancer","978 Austrian ancestry cases, 855 Austrian ancestry controls","colorectal cancer",1833,"European"
"GCST005153",29228715,"Colorectal adenoma (advanced)","636 Austrian ancestry cases, 855 Austrian ancestry controls","colorectal adenoma",1491,"European"
"GCST005158",29210060,"Overall survival in osteosarcoma","523 European ancestry individuals","osteosarcoma, overall survival",523,"European"
"GCST005209",29196614,"Hodgkin's lymphoma","3,077 European ancestry cases, 13,680 European ancestry controls","Hodgkins lymphoma",16757,"European"
"GCST005210",29196614,"Mixed cellularity Hodgkin lymphoma","828 European ancestry cases, 14,315 European ancestry controls","Hodgkins lymphoma, mixed cellularity",15143,"European"
"GCST005211",29196614,"Nodular sclerosis Hodgkin lymphoma","1,278 European ancestry cases, 14,325 European ancestry controls","nodular sclerosis Hodgkin lymphoma",15603,"European"
"GCST005267",29330379,"Schizophrenia or lung cancer (pleiotropy)","32,405 European and unknown ancestry schizophrenia cases, 12,160 European and unknown ancestry lung cancer cases, 59,059 European and unknown ancestry controls","lung carcinoma, schizophrenia",103624,"NR, European"
"GCST005275",29299148,"Cancer","3,555 Swedish ancestry cases, 15,581 Swedish ancestry controls","cancer",19136,"European"
"GCST005309",29385134,"Nonalcoholic steatohepatitis-derived hepatocellular carcinoma","58 Japanese ancestry cases, 7,672 Japanese ancestry controls","hepatocellular carcinoma, non-alcoholic steatohepatitis",7730,"East Asian"
"GCST005315",29348612,"Acute lymphoblastic leukemia (childhood)","1,949 Latino cases, 8,584 Latino controls, 1,184 European ancestry cases, 3551 European ancestry controls, 130 African American cases, 3,842 African American controls","acute lymphoblastic leukemia",10533,"Hispanic or Latin American"
"GCST005315",29348612,"Acute lymphoblastic leukemia (childhood)","1,949 Latino cases, 8,584 Latino controls, 1,184 European ancestry cases, 3551 European ancestry controls, 130 African American cases, 3,842 African American controls","acute lymphoblastic leukemia",3972,"African American or Afro-Caribbean"
"GCST005315",29348612,"Acute lymphoblastic leukemia (childhood)","1,949 Latino cases, 8,584 Latino controls, 1,184 European ancestry cases, 3551 European ancestry controls, 130 African American cases, 3,842 African American controls","acute lymphoblastic leukemia",4735,"European"
"GCST005434",29422604,"Pancreatic cancer","9,040 European ancestry cases, 12,496 European ancestry controls","pancreatic carcinoma",21536,"European"
"GCST005558",29534260,"Plantar fascial disorders","17,627 European ancestry cases, 2,044 Latin American cases, 1,300 East Asian cases, 658 African American cases, 65,637 European ancestry controls, 6,516 Latin American controls, 6,218 East Asian controls, 2,508 African American controls","Plantar Fasciitis, Plantar Fibromatosis",3166,"African American or Afro-Caribbean"
"GCST005558",29534260,"Plantar fascial disorders","17,627 European ancestry cases, 2,044 Latin American cases, 1,300 East Asian cases, 658 African American cases, 65,637 European ancestry controls, 6,516 Latin American controls, 6,218 East Asian controls, 2,508 African American controls","Plantar Fasciitis, Plantar Fibromatosis",83264,"European"
"GCST005558",29534260,"Plantar fascial disorders","17,627 European ancestry cases, 2,044 Latin American cases, 1,300 East Asian cases, 658 African American cases, 65,637 European ancestry controls, 6,516 Latin American controls, 6,218 East Asian controls, 2,508 African American controls","Plantar Fasciitis, Plantar Fibromatosis",8560,"Hispanic or Latin American"
"GCST005558",29534260,"Plantar fascial disorders","17,627 European ancestry cases, 2,044 Latin American cases, 1,300 East Asian cases, 658 African American cases, 65,637 European ancestry controls, 6,516 Latin American controls, 6,218 East Asian controls, 2,508 African American controls","Plantar Fasciitis, Plantar Fibromatosis",7518,"East Asian"
"GCST005570",29246937,"Hepatitis B virus-related hepatocellular carcinoma","348 Chinese ancestry carrier cases, 359 Chinese ancestry carrier controls, 189 Chinese ancestry trios","hepatitis B virus infection, hepatocellular carcinoma",1274,"East Asian"
"GCST005581",22961000,"Primary biliary cirrhosis","2,861 British and Irish ancestry cases, 8,514 British and Irish ancestry controls","primary biliary cirrhosis",11375,"European"
"GCST005591",29471430,"Colorectal cancer","6,692 Japanese ancestry cases, 27,178 Japanese ancestry controls","colorectal cancer",33870,"East Asian"
"GCST005746",29784950,"Hepatocellular carcinoma in hepatitis B infection","473 Japanese ancestry chronic hepatitis and hepatocellular carcinoma cases, 516 Japanese ancestry asymptomatic carriers or chronic hepatitis cases without hepatocellular carcinoma","hepatocellular carcinoma",989,"East Asian"
"GCST005747",29766673,"Non-small cell lung cancer in heavy smokers","47 European ancestry early age cases, 48 European ancestry advanced age controls","non-small cell lung carcinoma",95,"European"
"GCST005768",29615537,"Cancer","4,935 European ancestry cases, up to 28,496 European ancestry controls","cancer",33431,"European"
"GCST005786",29356057,"Prostate cancer","560 Ugandan ancestry cases, 480 Ugandan ancestry controls","prostate carcinoma",1040,"Sub-Saharan African"
"GCST005832",29632299,"Acute lymphoblastic leukemia in childhood (B cell precursor)","2,442 European ancestry cases, 14,609 European ancestry controls","B-cell acute lymphoblastic leukemia",17051,"European"
"GCST005855",28779025,"Cholangiocarcinoma in primary sclerosing cholangitis","188 European ancestry cases, 3,147 European ancestry controls","cholangiocarcinoma",3335,"European"
"GCST005856",28779025,"Colorectal carcinoma in primary sclerosing cholangitis","127 European ancestry cases, 2,822 European ancestry controls","colorectal cancer",2949,"European"
"GCST005857",28779025,"Gallbladder carcinoma in primary sclerosing cholangitis","30 European ancestry cases, 2,977 European ancestry controls","gallbladder neoplasm",3007,"European"
"GCST005858",28779025,"Hepatocellular carcinoma in primary sclerosing cholangitis","22 European ancestry cases, 2,984 European ancestry controls","hepatocellular carcinoma",3006,"European"
"GCST005860",28779025,"Cholangiocarcinoma in primary sclerosing cholangitis (time to event)","188 European ancestry cholangiocarcinoma cases, 3,147 European ancestry cholangiocarcinoma-free cases","event free survival time, cholangiocarcinoma, sclerosing cholangitis",3335,"European"
"GCST005870",29762745,"Meningioma","1,606 European ancestry cases, 9,823 European ancestry controls","Meningioma",11429,"European"
"GCST005896",29739929,"Non-melanoma skin cancer","5,912 European ancestry cases, 181,740 European ancestry controls","non-melanoma skin carcinoma",187652,"NR"
"GCST005900",29423119,"Survival in endocrine treated breast cancer (estrogen-receptor positive)","2,629 European ancestry individuals, 122 individuals","event free survival time, estrogen-receptor positive breast cancer, response to endocrine therapy",2629,"European"
"GCST005900",29423119,"Survival in endocrine treated breast cancer (estrogen-receptor positive)","2,629 European ancestry individuals, 122 individuals","event free survival time, estrogen-receptor positive breast cancer, response to endocrine therapy",122,"NR"
"GCST005901",29423119,"Survival in breast cancer (estrogen-receptor positive)","2,971 European ancestry individuals, 165 individuals","event free survival time, estrogen-receptor positive breast cancer",2971,"European"
"GCST005901",29423119,"Survival in breast cancer (estrogen-receptor positive)","2,971 European ancestry individuals, 165 individuals","event free survival time, estrogen-receptor positive breast cancer",165,"NR"
"GCST005906",29608257,"Endometriosis or endometrial cancer (pleiotropy)","3,194 endometriosis cases, 5,330 non-endometriosis controls, 2,057 endometrial cancer cases, 3,866 non-endometrial cancer controls","endometrial carcinoma, endometriosis",14446,"NR"
"GCST005909",29059373,"Smoking interaction in lung adenocarcinoma (1df test)","1,097 European ancestry never smoker cases, 5,918 European ancestry smoker cases","smoking behavior, lung adenocarcinoma",7015,"European"
"GCST005910",29059373,"Smoking interaction in non-small cell lung cancer (1df test)","1,399 European ancestry never smoker cases, 11,937 European ancestry smoker cases","smoking behavior, non-small cell lung carcinoma",13336,"European"
"GCST005911",29059373,"Smoking interaction in squamous cell lung cancer (1df test)","159 European ancestry never smoker cases, 4,370 European ancestry smoker cases","smoking behavior, squamous cell lung carcinoma",4529,"European"
"GCST005931",29743610,"Glioma","4,831 European ancestry male cases, 3,206 European ancestry female cases, 5,216 European ancestry male controls, 5,470 European ancestry female controls","glioma",18723,"European"
"GCST005932",29743610,"Glioblastoma","2,835 European ancestry male cases, 1,682 European ancestry female cases, 5,216 European ancestry male controls, 5,470 European ancestry female controls","glioma",15203,"European"
"GCST005933",29743610,"Non-glioblastoma glioma","1,716 European ancestry male cases, 1,320 European ancestry female cases, 5,216 European ancestry male controls, 5,470 European ancestry female controls","glioma",13722,"European"
"GCST005965",29296818,"B cell acute lymphoblastic leukaemia (normal cytogenetics)","193 European ancestry cases, 3027 European ancestry controls","B-cell acute lymphoblastic leukemia",3220,"European"
"GCST005966",29296818,"B cell acute lymphoblastic leukaemia (hyperdiploid negative)","410 European ancestry cases, 3027 European ancestry controls","B-cell acute lymphoblastic leukemia",3437,"European"
"GCST005967",29296818,"B cell acute lymphoblastic leukaemia (Philadelphia chromosome negative)","333 European ancestry cases, 3,027 European ancestry controls","B-cell acute lymphoblastic leukemia",3360,"European"
"GCST005968",29296818,"B cell acute lymphoblastic leukaemia (abnormal cytogenetics)","253 European ancestry cases, 3,027 European ancestry controls","B-cell acute lymphoblastic leukemia",3280,"European"
"GCST005969",29296818,"Acute lymphoblastic leukemia in childhood (B cell precursor)","134 European ancestry cases, 3,027 European ancestry controls","B-cell acute lymphoblastic leukemia",3161,"European"
"GCST005970",29296818,"B cell acute lymphoblastic leukaemia in young adulthood","160 European ancestry cases, 3,027 European ancestry controls","B-cell acute lymphoblastic leukemia",3187,"European"
"GCST005971",29296818,"B cell acute lymphoblastic leukaemia in adulthood","152 European ancestry cases, 3,027 European ancestry controls","B-cell acute lymphoblastic leukemia",3179,"European"
"GCST005972",29296818,"Acute lymphoblastic leukemia (B-cell precursor)","272 European ancestry male cases, 174 European ancestry female cases, 2,098 European ancestry male controls, 929 European ancestry female controls","B-cell acute lymphoblastic leukemia",3473,"European"
"GCST006035",29698419,"Breast cancer and/or colorectal cancer","589 European ancestry colorectal cancer with a family history of breast cancer cases, 378 European ancestry breast cancer cases with a family history of colorectal cancer cases, 18 European ancestry breast and colorectal cancer cases, 1,769 European ancestry controls","colorectal cancer, breast carcinoma",2754,"European"
"GCST006037",28921602,"Hepatocellular carcinoma in hepatitis C infection","502 Chinese ancestry cases, 749 Chinese ancestry controls","hepatocellular carcinoma",1251,"East Asian"
"GCST006080",29892016,"Prostate cancer aggressiveness (high vs low)","15,561 European ancestry high aggressive cases, 9,739 European ancestry low aggressive cases","prostate carcinoma",25300,"European"
"GCST006081",29892016,"Prostate cancer (advanced vs non-advanced)","14,160 European ancestry advanced cases, 62,421 European ancestry non-advanced cases","prostate carcinoma",76581,"European"
"GCST006082",29892016,"Prostate cancer aggressiveness (high vs low/intermediate)","20,658 European ancestry high aggressive cases, 38,093 European ancestry low/intermediate aggressive cases","prostate carcinoma",58751,"European"
"GCST006083",29892016,"Prostate cancer (advanced)","15,167 European ancestry cases, 58,308 European ancestry controls","prostate carcinoma",73475,"European"
"GCST006084",29892016,"Prostate cancer (Gleason score)","61,978 European ancestry cases","prostate carcinoma",61978,"European"
"GCST006085",29892016,"Prostate cancer","79,148 European ancestry cases, 61,106 European ancestry controls","prostate carcinoma",140254,"European"
"GCST006086",29924316,"Familial lung cancer","1,993 European ancestry cases, 33,960 European ancestry controls","lung carcinoma, family history of lung cancer",35953,"European"
"GCST006087",29924316,"Familial lung adenocarcinoma","775 European ancestry cases, 31,563 European ancestry controls","lung adenocarcinoma, family history of lung cancer",32338,"European"
"GCST006088",29924316,"Familial squamous cell lung carcinoma","367 European ancestry cases, 31,563 European ancestry controls","squamous cell lung carcinoma, family history of lung cancer",31930,"European"
"GCST006089",29892016,"Prostate cancer (early onset)","6,988 European ancestry cases, 44,256 European ancestry controls","prostate carcinoma",51244,"European"
"GCST006131",29917119,"Colorectal cancer","36,948 European ancestry cases, 30,864 European ancestry controls","colorectal cancer",67812,"European"
"GCST006398",30104567,"Lung cancer (SNP x SNP interaction)","4,918 European ancestry cases, 5,555 European ancestry controls","lung carcinoma",10473,"European"
"GCST006399",30104567,"Lung cancer","4,918 European ancestry cases, 5,555 European ancestry controls","lung carcinoma",10473,"European"
"GCST006400",30104567,"Lung cancer in ever smokers","4,628 European ancestry cases, 4,041 European ancestry controls","lung carcinoma",8669,"European"
"GCST006411",29942513,"Mucinous adenocarcinoma in colorectal cancer","57 European ancestry cases, 448 European ancestry controls","colorectal mucinous adenocarcinoma",505,"European"
"GCST006413",29971594,"Lung cancer x radon exposure interaction (1df)","49 European ancestry high radon exposure cases, 15,028 European ancestry low radon exposure cases, 259 European ancestry high radon exposure controls, 13,263 European ancestry low radon exposure controls","lung carcinoma, radon exposure measurement",28599,"European"
"GCST006432",30213928,"Multiple myeloma","8,197 European ancestry cases, 241,468 European ancestry controls","multiple myeloma",249665,"European"
"GCST006462",30194396,"Uterine fibroids","16,595 European ancestry cases, 523,330 European ancestry controls","uterine fibroid",539925,"European"
"GCST006464",30093612,"Endometrial cancer","12,906 European ancestry cases, 108,979 European ancestry controls","endometrial carcinoma",121885,"European"
"GCST006465",30093612,"Endometrial cancer (endometrioid histology)","8,758 European ancestry cases, 46,126 European ancestry controls","endometrial carcinoma",54884,"European"
"GCST006466",30093612,"Endometrial cancer (Non-endometrioid histology)","1,230 European ancestry cases, 35,447 European ancestry controls","endometrial carcinoma",36677,"European"
"GCST006467",30093639,"Ewing sarcoma","733 European ancestry cases, 1,346 European ancestry controls","Ewing sarcoma",2079,"European"
"GCST006480",30152087,"Glioblastoma (age-stratified)","1,533 cases diagnosed below median age, 1,476 cases diagnosed at median age, 1,503 cases diagnosed above median age, 10,582 controls,","age at onset, glioblastoma multiforme",15094,"NR"
"GCST006524",24376627,"Nasopharyngeal carcinoma (SNP x SNP interaction)","277 Han Chinese ancestry cases, 285 Han Chinese ancestry controls","nasopharyngeal neoplasm",562,"East Asian"
"GCST006525",29551738,"Esophageal adenocarcinoma x BMI interaction","2,284 European ancestry cases, 2,182 European ancestry controls","esophageal adenocarcinoma, body mass index",4466,"European"
"GCST006530",29551738,"Esophageal adenocarcinoma x smoking interaction","2,284 European ancestry cases, 2,182 European ancestry controls","esophageal adenocarcinoma, smoking status measurement",4466,"European"
"GCST006531",29551738,"Esophageal adenocarcinoma x gastroesophageal reflux disease interaction","2,284 European ancestry cases, 2,182 European ancestry controls","esophageal adenocarcinoma, gastroesophageal reflux disease",4466,"European"
"GCST006532",29551738,"Esophageal adenocarcinoma x pack-years of smoking exposure interaction","2,284 European ancestry cases, 2,182 European ancestry controls","esophageal adenocarcinoma, pack-years measurement",4466,"European"
"GCST006707",30281874,"Gastric cancer","6,171 Japanese ancestry cases, 27,178 Japanese ancestry controls","gastric carcinoma",33349,"East Asian"
"GCST006719",30323354,"BRCA1/2-negative high-risk breast cancer","1,469 Korean ancestry cases, 5,979 Korean ancestry controls","BRCAX breast cancer",7448,"East Asian"
"GCST006866",24325914,"Lung cancer (SNP x SNP interaction)","2,331 Han Chinese ancestry cases, 3,077 Han Chinese ancestry controls","lung carcinoma",5408,"East Asian"
"GCST006982",30305637,"Waldenström macroglobulinemia / lymphoplasmacytic lymphoma","217 European ancestry cases, 3,798 European ancestry controls","Waldenstrom macroglobulinemia",4015,"European"
"GCST006985",30642363,"Breast cancer","2,385 Latina cases, 6,416 Latina controls","breast carcinoma",8801,"Hispanic or Latin American"
"GCST007036",30643196,"Primary biliary cholangitis","1,855 Japanese ancestry cases, 1,719 Japanese ancestry controls","primary biliary cirrhosis",3574,"East Asian"
"GCST007062",30194254,"Hodgkin's lymphoma","5,325 European ancestry cases, 22,425 European ancestry controls","Hodgkins lymphoma",27750,"European"
"GCST007119",30412241,"Cervical cancer","2,609 East Asian ancestry cases, 4,712 East Asian ancestry controls","cervical carcinoma",7321,"East Asian"
"GCST007235",30541042,"Pancreatic ductal adenocarcinoma","9,040 European ancestry cases, 12,496 European ancestry controls","pancreatic carcinoma",21536,"European"
"GCST007236",25751625,"Breast cancer","46,785 European ancestry cases, 42,892 European ancestry controls","breast carcinoma",89677,"European"
"GCST007239",30557369,"Ovarian cancer","681 Japanese ancestry cases, 17,492 Japanese ancestry controls","ovarian carcinoma",18173,"East Asian"
"GCST007276",30510082,"Acute lymphoblastic leukemia (B-cell precursor)","940 Hispanic children cases, 681 Hispanic controls","acute lymphoblastic leukemia",1521,"Hispanic or Latin American"
"GCST007302",23544012,"Breast cancer in BRCA2 mutation carriers","4,330 European ancestry affected women, 3,881 European ancestry unaffected women","breast carcinoma",8211,"European"
"GCST007414",28864454,"Breast cancer","1,704 cases, 1,310 controls","breast carcinoma",3014,"NR"
